borough,major_category,minor_category,year,number_of_cases
City of London,Violence Against the Person,Harassment,2016,13
City of London,Violence Against the Person,Harassment,2011,2
City of London,Violence Against the Person,Harassment,2014,3
City of London,Violence Against the Person,Harassment,2013,5
City of London,Violence Against the Person,Harassment,2009,0
City of London,Violence Against the Person,Harassment,2008,0
City of London,Violence Against the Person,Harassment,2015,8
City of London,Violence Against the Person,Harassment,2010,0
City of London,Violence Against the Person,Harassment,2012,5
City of London,Theft and Handling,Other Theft,2013,34
City of London,Theft and Handling,Other Theft,2016,59
City of London,Theft and Handling,Other Theft,2015,43
City of London,Theft and Handling,Other Theft,2012,68
City of London,Theft and Handling,Other Theft,2014,40
City of London,Theft and Handling,Other Theft,2010,0
City of London,Theft and Handling,Other Theft,2008,0
City of London,Theft and Handling,Other Theft,2011,26
City of London,Theft and Handling,Other Theft,2009,0
City of London,Violence Against the Person,Wounding/GBH,2009,0
City of London,Violence Against the Person,Wounding/GBH,2008,0
City of London,Violence Against the Person,Wounding/GBH,2016,3
City of London,Violence Against the Person,Wounding/GBH,2010,0
City of London,Violence Against the Person,Wounding/GBH,2013,0
City of London,Violence Against the Person,Wounding/GBH,2015,5
City of London,Violence Against the Person,Wounding/GBH,2011,0
City of London,Violence Against the Person,Wounding/GBH,2012,0
City of London,Violence Against the Person,Wounding/GBH,2014,4
City of London,Violence Against the Person,Common Assault,2016,4
City of London,Violence Against the Person,Common Assault,2013,2
City of London,Violence Against the Person,Common Assault,2010,0
City of London,Violence Against the Person,Common Assault,2015,7
City of London,Violence Against the Person,Common Assault,2011,2
City of London,Violence Against the Person,Common Assault,2014,7
City of London,Violence Against the Person,Common Assault,2012,5
City of London,Violence Against the Person,Common Assault,2009,0
City of London,Violence Against the Person,Common Assault,2008,0
City of London,Violence Against the Person,Other violence,2009,0
City of London,Violence Against the Person,Other violence,2014,1
City of London,Violence Against the Person,Other violence,2011,0
City of London,Violence Against the Person,Other violence,2012,2
City of London,Violence Against the Person,Other violence,2016,0
City of London,Violence Against the Person,Other violence,2015,3
City of London,Violence Against the Person,Other violence,2013,1
City of London,Violence Against the Person,Other violence,2008,0
City of London,Violence Against the Person,Other violence,2010,0
City of London,Drugs,Drug Trafficking,2015,1
City of London,Drugs,Drug Trafficking,2012,0
City of London,Drugs,Drug Trafficking,2011,1
City of London,Drugs,Drug Trafficking,2009,0
City of London,Drugs,Drug Trafficking,2013,2
City of London,Drugs,Drug Trafficking,2016,1
City of London,Drugs,Drug Trafficking,2010,0
City of London,Drugs,Drug Trafficking,2014,0
City of London,Drugs,Drug Trafficking,2008,0
City of London,Violence Against the Person,Offensive Weapon,2015,2
City of London,Violence Against the Person,Offensive Weapon,2010,0
City of London,Violence Against the Person,Offensive Weapon,2016,0
City of London,Violence Against the Person,Offensive Weapon,2014,0
City of London,Violence Against the Person,Offensive Weapon,2013,0
City of London,Violence Against the Person,Offensive Weapon,2011,1
City of London,Violence Against the Person,Offensive Weapon,2012,0
City of London,Violence Against the Person,Offensive Weapon,2009,0
City of London,Violence Against the Person,Offensive Weapon,2008,0
City of London,Other Notifiable Offences,Other Notifiable,2014,2
City of London,Other Notifiable Offences,Other Notifiable,2010,0
City of London,Other Notifiable Offences,Other Notifiable,2015,0
City of London,Other Notifiable Offences,Other Notifiable,2011,1
City of London,Other Notifiable Offences,Other Notifiable,2008,0
City of London,Other Notifiable Offences,Other Notifiable,2016,6
City of London,Other Notifiable Offences,Other Notifiable,2013,4
City of London,Other Notifiable Offences,Other Notifiable,2009,0
City of London,Other Notifiable Offences,Other Notifiable,2012,4
City of London,Theft and Handling,Theft From Shops,2008,0
City of London,Theft and Handling,Theft From Shops,2016,8
City of London,Theft and Handling,Theft From Shops,2012,1
City of London,Theft and Handling,Theft From Shops,2014,4
City of London,Theft and Handling,Theft From Shops,2009,0
City of London,Theft and Handling,Theft From Shops,2015,4
City of London,Theft and Handling,Theft From Shops,2010,0
City of London,Theft and Handling,Theft From Shops,2011,0
City of London,Robbery,Business Property,2012,0
City of London,Robbery,Business Property,2016,0
City of London,Robbery,Business Property,2009,0
City of London,Robbery,Business Property,2013,0
City of London,Robbery,Business Property,2010,0
City of London,Robbery,Business Property,2014,0
City of London,Robbery,Personal Property,2013,3
City of London,Robbery,Personal Property,2009,0
City of London,Robbery,Personal Property,2010,0
City of London,Robbery,Personal Property,2012,6
City of London,Robbery,Personal Property,2011,1
City of London,Robbery,Personal Property,2014,4
City of London,Robbery,Personal Property,2008,0
City of London,Robbery,Personal Property,2016,4
City of London,Robbery,Personal Property,2015,5
City of London,Theft and Handling,Other Theft Person,2010,0
City of London,Theft and Handling,Other Theft Person,2016,51
City of London,Theft and Handling,Other Theft Person,2015,43
City of London,Theft and Handling,Other Theft Person,2014,28
City of London,Theft and Handling,Other Theft Person,2011,7
City of London,Theft and Handling,Other Theft Person,2008,0
City of London,Theft and Handling,Other Theft Person,2012,41
City of London,Theft and Handling,Other Theft Person,2013,24
City of London,Theft and Handling,Other Theft Person,2009,0
City of London,Violence Against the Person,Assault with Injury,2011,9
City of London,Violence Against the Person,Assault with Injury,2008,0
City of London,Violence Against the Person,Assault with Injury,2016,5
City of London,Violence Against the Person,Assault with Injury,2009,0
City of London,Violence Against the Person,Assault with Injury,2012,3
City of London,Violence Against the Person,Assault with Injury,2015,3
City of London,Violence Against the Person,Assault with Injury,2013,6
City of London,Violence Against the Person,Assault with Injury,2010,0
City of London,Violence Against the Person,Assault with Injury,2014,3
City of London,Drugs,Possession Of Drugs,2008,0
City of London,Drugs,Possession Of Drugs,2014,3
City of London,Drugs,Possession Of Drugs,2011,3
City of London,Drugs,Possession Of Drugs,2012,6
City of London,Drugs,Possession Of Drugs,2015,5
City of London,Drugs,Possession Of Drugs,2013,2
City of London,Drugs,Possession Of Drugs,2009,0
City of London,Drugs,Possession Of Drugs,2016,9
City of London,Drugs,Possession Of Drugs,2010,0
City of London,Theft and Handling,Handling Stolen Goods,2008,0
City of London,Theft and Handling,Handling Stolen Goods,2014,1
City of London,Theft and Handling,Handling Stolen Goods,2012,2
City of London,Theft and Handling,Handling Stolen Goods,2013,1
City of London,Theft and Handling,Handling Stolen Goods,2009,0
City of London,Theft and Handling,Handling Stolen Goods,2015,1
City of London,Theft and Handling,Handling Stolen Goods,2011,0
